Title,Authors,Skip,Abstract
A Practitioner’s Guide to Software Test Design,"Copeland, L.",,
A manager’s guide to evaluating test suites,"Marick, B. and Bach, J. and Kaner, C.Cem",,
A practical tutorial on modified condition/decision coverage,"Hayhurst, K. and Veerhusen, D. and Rierson, L.",,
Agile High Assurance: Testing re-imagined,"Binder, R.V.",,
App testing now consumes a quarter of IT budget,"Vizard, M.",,
Assessing the test suite of a large scale system based on code coverage and derived metrics,"L. Vidács, F. Horváth, D. Tengeri and Beszédes, Á.",,
Automatic Test-case Generation from Formal Models of Software,"Rayadurgam, S.",,
Basic mistakes in database testing,"Guz, S.",,
Clover Java and groovy code coverage tool homepage,Atlassian,,
Constrained mutation in c programs,"Wong, W.E. and Maldonado, J.C. and Delamaro, M.E. and Mathur, A.P.",,
Correction to: Evaluating testing methods by delivered reliability,"Frankl, Phyllis and Hamlet, Dick and Littlewood, Bev and Strigini, Lorenzo",,
Effective Unit Testing: A guide for Java developers,"Koskela, L.",,
Evaluation of the cost of alternate mutation strategies,"Mathur, A.P. and Wong, W.E.",,
Foundations of Software Testing: Fundamental Algorithms and Techniques,"Mathur, A.P.",,
Gerard. xUnit test patterns: Refactoring test code,Meszaros,,
Jtest manuals version 4.5,Parasoft,,
Model-Based Testing of Reactive Systems,,,
Mutant unification for improved vectorization,"Mathur, A.P. and Krauser, E.W.",,
Mutation analysis of program test data[ph. d. thesis,"Budd, T.A.",,
Mutation-based fuzzing,"Zeller, A. and Gopinath, R. and Böhme, M. and Fraser, G. and Holler, C.",,
Pit mutation testing,"Coles, H.",,
Pit mutation testing: Mutators,"Coles, H.",,
Seleção Automática de Casos de Teste de Regressão Baseada em Similaridade e Valores,"Francisco Gomes, Patrícia Duarte de Lima",,
Software Testing Techniques,"Beizer, B.",,
"Software testing and analysis: process, principles, and techniques","Pezze, M. and Young, M.",,
State coverage,"Ken, David",,
State coverage for the dynamic analysis of concurrent programs,"Sherman, E.",,
The Art of Application Performance Testing,"Molyneaux, I.",,
The Art of Unit Testing With Examples in .NET,"Osherove, R.",,
The Mothra software testing environment user’s manual,"DeMillo, R.A. and Martin, R.J.",,
The art of software testing,"Myers, Glenford J. and Sandler, Corey and Badgett, Tom",,
The economic impacts of inadequate infrastructure for software testing,"Tassey, G.",,
Transforming mutation testing from the technology of the future into the technology of the present,"Ammann, P.",,
Unit Test Frameworks: Tools for High-Quality Software Development,"Hamill, Paul",,
Unit testing with JUnit - tutorial,"Vogella, L.",,
xUnit Test Patterns: Refactoring Test Code,"Meszaros, G.",,
Avaliação da ferramenta de testes Selenium no desenvolvimento guiado por teste de uma aplicação web,['RP Santori'],,
Contribuições ao suporte cognitivo em teste de software unitário: um framework de tarefas e uma agenda de pesquisa,['MP Prado'],,
Criterios basados en abstracciones de comportamiento para testing de conformidad de protocolos,['H Czemerinski'],,
"Distributed systems, discrete-event simulation, test adequacy criteria, fault-based analysis.","['MJ Rutherford', 'A Carzaniga', 'AL Wolf']",,
"Engineering of Software Test-Code: Developing, verifying and maintaining high-quality automated test scripts","['V Garousi', 'M Felderer']",,
Evaluation of GUI testing techniques for system crashing: from real to model-based controlled experiments,['C Bertolini'],,
Explorando gamificação no ensino de teste de software,['GM Jesus'],,
Extending the Bacterio tool for web application mutation testing.,"['M Polo', 'D Caivano', 'PR Mateo']",,
Identifikace potenciálně znovupoužitelných částí v neoptimálně strukturovaných automatických testovacích skriptech,['M Filipský'],,
Impacts de l'AOP sur les tests dans un environnement Agile: utilisation de Mocks pour les tests unitaires d'aspects,['FA Bourbonnais-Bigras'],,
Interaktywne testowanie mutacyjne w procesie tworzenia oprogramowania w środowisku Visual Studio,['P Trzpil'],,
Introduction du test dans la modélisation par aspects,"['J Klein', 'B Baudry', 'O Barais', 'A Jackson']",,
Introduction to software testing,"['P Ammann', 'J Offutt']",,
L3. 4: Etude de réduction de suites de tests,"['T Triki', 'L du-Bousquet', 'Y Ledru']",,
Mapeamento e aplicação de testes estatísticos em engenharia de software,['MNP Detoni'],,
Measuring the multiple-condition coverage with test suites for AspectJ programs,['A Zanderink'],,
Mutasyon bazlı yazılım testlerinin iyileştirilmesi için bir yaklaşım,['MA Warsame'],,
Reduzindo o custo do teste de mutação com base no conceito de arcos primitivos,['PH Kuroishi'],,
SPt: uma nova abordagem para revisão automática de artefatos de software e geração de planos de teste,"['AC MOTA', 'FA BARROS']",,
Service testing for the internet of things,['ES Reetz'],,
Test effort and test coverage: correlation analysis in a safety critical operating system,"['D Di Leo', 'R Natella', 'R Pietrantuono', 'B Ovilio']",,
The effect of test suite type on regression test selection,"['N Dini', 'A Sullivan', 'M Gligoric']",,
Um arcabouço para a geração automatizada de testes funcionais a partir de cenários BDD,"['NN Marques', 'RA Fernandes']",,
Uma contribuição para o teste baseado em defeitos de software orientado a aspectos,['FC Ferrari'],,
Uma investigação sobre o uso de critérios de teste no desenvolvimento baseado em testes para o ensino de programação,['BHP Camara'],,
Using Aspect-Oriented Programming for mutation testing of third-party components,['MP Usaola'],,
Using program mutation for the empirical assessment of fault detection techniques: a comparison of concurrency testing and model checking,['JS Bradbury'],,
